,Unit.UnitI,Unit.Taxon,Unit.Quali,Unit.Qua_1,Unit.Qua_2,Unit.Qua_3,Unit.Qua_4,Unit.Qua_5,Unit.Repor,Taxon.ID,Taxon.Scie,Taxon.Finn,Taxon.Engl,Taxon.Swed,Unit.NameA,Unit.Abund,Unit.Inter,Unit.Int_1,Unit.Recor,Unit.Detai,Unit.TypeS,Unit.Det,Unit.Sex,Unit.LifeS,Unit.Nativ,Unit.Breed,Unit.Indiv,Unit.Invas,Unit.Notes,Unit.Annot,Unit.Media,Gathering.,Gatherin_1,Gatherin_2,Gatherin_3,Gatherin_4,Gatherin_5,Gatherin_6,Gatherin_7,Gatherin_8,Gatherin_9,Gatherin10,Gatherin11,Gatherin12,Gatherin13,Gatherin14,Gatherin15,Gatherin16,Gatherin17,Gatherin18,Gatherin19,Gatherin20,Gatherin21,Gatherin22,Gatherin23,Gatherin24,Gatherin25,Gatherin26,Gatherin27,Gatherin28,Gatherin29,Gatherin30,Gatherin31,Gatherin32,Gatherin33,Gatherin34,Gatherin35,Gatherin36,Gatherin37,Gatherin38,Gatherin39,Gatherin40,Gatherin41,Gatherin42,Gatherin43,Gatherin44,Gatherin45,Gatherin46,Gatherin47,Gatherin48,Gatherin49,Gatherin50,Gatherin51,Gatherin52,Gatherin53,Gatherin54,Gatherin55,Gatherin56,Document.D,Document_1,Document_2,Document_3,Document.P,Document.C,Document.Q,Document_4,Document_5,Document_6,Document.S,Document.N,Document.K,Document.F,Document.L,Document_7,Document.M,Document_8,Document_9,B4,B2,B5,B3,B6,B7,B16,B17,B14,B15,B12,B13,B10,B11,B19,B8,B9,B18,B1
650,http://tun.fi/KE.67/6662895#Unit,SAXRUB,NA,NA,NA,,,NA,NA,http://tun.fi/MX.32949,Saxicola rubetra,pensastasku,Whinchat,buskskvätta,NA,1,NA,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,NA,,JUVENILE,NA,NA,http://tun.fi/A.4A8B1DB7C914CC60A4F0F974AC4ADAB0,NA,,0,0,http://tun.fi/KE.67/6662895#Gathering,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/22/1993,6/22/1993,NA,NA,6/22/1993,,63.005526,63.00649,21.94573,21.947541,63.006008,21.946635,6999200,6999300,3244300,3244400,6996266.00,6996366.00,244232.00,244332.00,NA,NA,NA,NA,1900,1990,1993,6,22,173,173,100,REPORTED_VALUE,,,,COORDINATES,COORDINATES,COORDINATES,NA,FINLAND,LAIHIA,,VAASA,,,0,http://tun.fi/KE.67/6662895,PUBLIC,NONE,,FALSE,http://tun.fi/HR.48,NA,NA,NA,NA,http://tun.fi/KE.67,NA,NA,NA,NA,,NA,NA,0,8251,82,206,25,-119,325,195,77,23,35,526,71,142,-70,98,129,-33,174,34
651,http://tun.fi/KE.67/6664755#Unit,SAXRUB,NA,NA,NA,,,NA,NA,http://tun.fi/MX.32949,Saxicola rubetra,pensastasku,Whinchat,buskskvätta,NA,1,NA,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,NA,,JUVENILE,NA,NA,http://tun.fi/A.60CE5A3756820850A847C48092731780,NA,,0,0,http://tun.fi/KE.67/6664755#Gathering,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/26/1992,6/26/1992,NA,NA,6/26/1992,,62.730072,62.731032,22.245768,22.247572,62.730552,22.24667,6967400,6967500,3257200,3257300,6964479.00,6964579.00,257127.00,257227.00,NA,NA,NA,NA,1900,1990,1992,6,26,178,178,100,REPORTED_VALUE,,,,COORDINATES,COORDINATES,COORDINATES,NA,FINLAND,ILMAJOKI,,VAASA,,,0,http://tun.fi/KE.67/6664755,PUBLIC,NONE,,FALSE,http://tun.fi/HR.48,NA,NA,NA,NA,http://tun.fi/KE.67,NA,NA,NA,NA,,NA,NA,0,8307,85,205,25,-125,330,205,86,26,33,562,75,139,-75,106,124,-37,187,30
652,http://tun.fi/KE.67/6664777#Unit,SAXRUB,NA,NA,NA,,,NA,NA,http://tun.fi/MX.32949,Saxicola rubetra,pensastasku,Whinchat,buskskvätta,NA,1,NA,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,NA,,JUVENILE,NA,NA,http://tun.fi/A.5CA960D7A4C2A1A6AA0C347EF4C4950C,NA,,0,0,http://tun.fi/KE.67/6664777#Gathering,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/2/1992,7/2/1992,NA,NA,7/2/1992,,62.665122,62.66608,22.346134,22.347938,62.665601,22.347036,6959800,6959900,3261800,3261900,6956882.00,6956982.00,261725.00,261825.00,NA,NA,NA,NA,1900,1990,1992,7,2,184,184,100,REPORTED_VALUE,,,,COORDINATES,COORDINATES,COORDINATES,NA,FINLAND,KURIKKA,,VAASA,,,0,http://tun.fi/KE.67/6664777,PUBLIC,NONE,,FALSE,http://tun.fi/HR.48,NA,NA,NA,NA,http://tun.fi/KE.67,NA,NA,NA,NA,,NA,NA,0,8315,86,207,25,-125,332,205,87,26,33,563,75,140,-75,106,125,-36,187,31
653,http://tun.fi/KE.67/6667309#Unit,SAXRUB,NA,NA,NA,,,NA,NA,http://tun.fi/MX.32949,Saxicola rubetra,pensastasku,Whinchat,buskskvätta,NA,1,NA,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,NA,,JUVENILE,NA,NA,http://tun.fi/A.558A54139431A39596702B536DDD8AD1,NA,,0,0,http://tun.fi/KE.67/6667309#Gathering,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/13/1992,7/13/1992,NA,NA,7/13/1992,,62.732086,62.733045,22.278753,22.280559,62.732566,22.279656,6967500,6967600,3258900,3259000,6964579.00,6964679.00,258826.00,258926.00,NA,NA,NA,NA,1900,1990,1992,7,13,195,195,100,REPORTED_VALUE,,,,COORDINATES,COORDINATES,COORDINATES,NA,FINLAND,ILMAJOKI,,VAASA,,,0,http://tun.fi/KE.67/6667309,PUBLIC,NONE,,FALSE,http://tun.fi/HR.48,NA,NA,NA,NA,http://tun.fi/KE.67,NA,NA,NA,NA,,NA,NA,0,8275,85,206,25,-125,331,205,86,26,33,562,75,139,-75,106,124,-36,187,30
654,http://tun.fi/KE.67/6668119#Unit,SAXRUB,NA,NA,NA,,,NA,NA,http://tun.fi/MX.32949,Saxicola rubetra,pensastasku,Whinchat,buskskvätta,NA,1,NA,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,NA,,JUVENILE,NA,NA,http://tun.fi/A.DF0BC4D6D0F4C7860A5A4925E9D748D4,NA,,0,0,http://tun.fi/KE.67/6668119#Gathering,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/22/2001,6/22/2001,NA,NA,6/22/2001,,62.705653,62.706618,21.81109,21.812879,62.706135,21.811985,6966400,6966500,3234800,3234900,6963479.00,6963579.00,234736.00,234836.00,NA,NA,NA,NA,2000,2000,2001,6,22,173,173,100,REPORTED_VALUE,,,,COORDINATES,COORDINATES,COORDINATES,NA,FINLAND,JURVA,,VAASA,,,0,http://tun.fi/KE.67/6668119,PUBLIC,NONE,,FALSE,http://tun.fi/HR.48,NA,NA,NA,NA,http://tun.fi/KE.67,NA,NA,NA,NA,,NA,NA,0,8225,81,203,25,-121,324,202,84,25,33,555,74,140,-71,105,126,-36,181,32
655,http://tun.fi/KE.67/6668439#Unit,SAXRUB,NA,NA,NA,,,NA,NA,http://tun.fi/MX.32949,Saxicola rubetra,pensastasku,Whinchat,buskskvätta,NA,1,NA,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,NA,,JUVENILE,NA,NA,http://tun.fi/A.251088E50A01FE304A8633105FD4D7B7,NA,,0,0,http://tun.fi/KE.67/6668439#Gathering,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/30/1994,6/30/1994,NA,NA,6/30/1994,,62.796573,62.797527,22.71998,22.721805,62.79705,22.720892,6973100,6973200,3281900,3282000,6970177.00,6970277.00,281817.00,281917.00,NA,NA,NA,NA,1900,1990,1994,6,30,181,181,100,REPORTED_VALUE,,,,COORDINATES,COORDINATES,COORDINATES,NA,FINLAND,ILMAJOKI,,VAASA,,,0,http://tun.fi/KE.67/6668439,PUBLIC,NONE,,FALSE,http://tun.fi/HR.48,NA,NA,NA,NA,http://tun.fi/KE.67,NA,NA,NA,NA,,NA,NA,0,8394,88,210,26,-127,337,202,85,25,32,555,74,141,-76,104,126,-35,186,31
656,http://tun.fi/KE.67/6669710#Unit,SAXRUB,NA,NA,NA,,,NA,NA,http://tun.fi/MX.32949,Saxicola rubetra,pensastasku,Whinchat,buskskvätta,NA,1,NA,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,NA,,JUVENILE,NA,NA,http://tun.fi/A.223C6DF5460EEE84504CC817F6AC6493,NA,,0,0,http://tun.fi/KE.67/6669710#Gathering,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/7/1991,7/7/1991,NA,NA,7/7/1991,,60.583376,60.584305,24.652317,24.654075,60.58384,24.653196,6721500,6721600,3371500,3371600,6718679.00,6718779.00,371383.00,371483.00,NA,NA,NA,NA,1900,1990,1991,7,7,188,188,100,REPORTED_VALUE,,,,COORDINATES,COORDINATES,COORDINATES,NA,FINLAND,HYVINKÄÄ,,UUSIMAA,,,0,http://tun.fi/KE.67/6669710,PUBLIC,NONE,,FALSE,http://tun.fi/HR.48,NA,NA,NA,NA,http://tun.fi/KE.67,NA,NA,NA,NA,,NA,NA,0,8255,73,210,23,-102,312,222,102,32,30,640,80,153,-59,130,138,-24,203,44
657,http://tun.fi/KE.67/6670891#Unit,SAXRUB,NA,NA,NA,,,NA,NA,http://tun.fi/MX.32949,Saxicola rubetra,pensastasku,Whinchat,buskskvätta,NA,1,NA,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,NA,,JUVENILE,NA,NA,http://tun.fi/A.6197B810F2D85B1BAD853F47991CAD42,NA,,0,0,http://tun.fi/KE.67/6670891#Gathering,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/25/1996,6/25/1996,NA,NA,6/25/1996,,62.560241,62.561199,22.409312,22.411112,62.56072,22.410212,6947900,6948000,3264200,3264300,6944987.00,6945087.00,264124.00,264224.00,NA,NA,NA,NA,1900,1990,1996,6,25,177,177,100,REPORTED_VALUE,,,,COORDINATES,COORDINATES,COORDINATES,NA,FINLAND,KURIKKA,,VAASA,,,0,http://tun.fi/KE.67/6670891,PUBLIC,NONE,,FALSE,http://tun.fi/HR.48,NA,NA,NA,NA,http://tun.fi/KE.67,NA,NA,NA,NA,,NA,NA,0,8277,85,206,25,-124,330,208,88,26,32,570,76,139,-74,107,124,-35,190,31
658,http://tun.fi/KE.67/6672390#Unit,SAXRUB,NA,NA,NA,,,NA,NA,http://tun.fi/MX.32949,Saxicola rubetra,pensastasku,Whinchat,buskskvätta,NA,1,NA,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,NA,,JUVENILE,NA,NA,http://tun.fi/A.8E3ECDD1F066A78218CD7BC4B5D698BB,NA,,0,0,http://tun.fi/KE.67/6672390#Gathering,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/27/1994,6/27/1994,NA,NA,6/27/1994,,62.858368,62.859334,21.782123,21.78392,62.858851,21.783021,6983500,6983600,3234700,3234800,6980572.00,6980672.00,234636.00,234736.00,NA,NA,NA,NA,1900,1990,1994,6,27,178,178,100,REPORTED_VALUE,,,,COORDINATES,COORDINATES,,NA,FINLAND,JURVA,,VAASA,,,0,http://tun.fi/KE.67/6672390,PUBLIC,NONE,,FALSE,http://tun.fi/HR.48,NA,NA,NA,NA,http://tun.fi/KE.67,NA,NA,NA,NA,,NA,NA,0,8203,81,206,25,-116,322,195,78,24,34,530,71,144,-67,100,130,-31,173,36
659,http://tun.fi/KE.67/6673296#Unit,SAXRUB,NA,NA,NA,,,NA,NA,http://tun.fi/MX.32949,Saxicola rubetra,pensastasku,Whinchat,buskskvätta,NA,1,NA,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,NA,,JUVENILE,NA,NA,http://tun.fi/A.1E24E2D23797965F9D021A2E5E8413CF,NA,,0,0,http://tun.fi/KE.67/6673296#Gathering,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/30/1995,6/30/1995,NA,NA,6/30/1995,,61.340851,61.341784,24.390175,24.391967,61.341317,24.391071,6806400,6806500,3360500,3360600,6803545.00,6803645.00,360387.00,360486.00,NA,NA,NA,NA,1900,1990,1995,6,30,181,181,100,REPORTED_VALUE,,,,COORDINATES,COORDINATES,COORDINATES,NA,FINLAND,PÄLKÄNE,,HÄME,,,0,http://tun.fi/KE.67/6673296,PUBLIC,NONE,,FALSE,http://tun.fi/HR.48,NA,NA,NA,NA,http://tun.fi/KE.67,NA,NA,NA,NA,,NA,NA,0,8529,83,216,24,-119,335,216,93,29,32,602,79,149,-71,115,134,-30,204,38
