X,Y,Unit.UnitI,Unit.Taxon,Unit.Quali,Unit.Qua_1,Unit.Qua_2,Unit.Qua_3,Unit.Qua_4,Unit.Qua_5,Unit.Repor,Taxon.ID,Taxon.Scie,Taxon.Finn,Taxon.Engl,Taxon.Swed,Unit.NameA,Unit.Abund,Unit.Inter,Unit.Int_1,Unit.Recor,Unit.Detai,Unit.TypeS,Unit.Det,Unit.Sex,Unit.LifeS,Unit.Nativ,Unit.Breed,Unit.Indiv,Unit.Invas,Unit.Notes,Unit.Annot,Unit.Media,Gathering.,Gatherin_1,Gatherin_2,Gatherin_3,Gatherin_4,Gatherin_5,Gatherin_6,Gatherin_7,Gatherin_8,Gatherin_9,Gatherin10,Gatherin11,Gatherin12,Gatherin13,Gatherin14,Gatherin15,Gatherin16,Gatherin17,Gatherin18,Gatherin19,Gatherin20,Gatherin21,Gatherin22,Gatherin23,Gatherin24,Gatherin25,Gatherin26,Gatherin27,Gatherin28,Gatherin29,Gatherin30,Gatherin31,Gatherin32,Gatherin33,Gatherin34,Gatherin35,Gatherin36,Gatherin37,Gatherin38,Gatherin39,Gatherin40,Gatherin41,Gatherin42,Gatherin43,Gatherin44,Gatherin45,Gatherin46,Gatherin47,Gatherin48,Gatherin49,Gatherin50,Gatherin51,Gatherin52,Gatherin53,Gatherin54,Gatherin55,Gatherin56,Document.D,Document_1,Document_2,Document_3,Document.P,Document.C,Document.Q,Document_4,Document_5,Document_6,Document.S,Document.N,Document.K,Document.F,Document.L,Document_7,Document.M,Document_8,Document_9,B7.tif,B14.tif,B1.tif,B12.tif,B15.tif,B6.tif,B9.tif,B11.tif,B2.tif,B5.tif,B16.tif,B8.tif,B3.tif,B10.tif,B17.tif,B4.tif,B19.tif,B18.tif,B13.tif
22.660549,63.702447,http://id.luomus.fi/MY.2053186,Sunira circellaris,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.62664,Agrochola circellaris,keltamäkiyökkönen,,,,,,,PRESERVED_SPECIMEN,PRESERVED_SPECIMEN,false,"Sjöholm, Emil",,ADULT,,,,,,0,0,http://id.luomus.fi/MY.2053185,,,,,,,,,,1937-08-29,1937-08-29,,,1937-08-29,"Sjöholm, Emil",63.702441999999998,63.702452000000001,22.660539000000000,22.660558000000002,63.702446999999999,22.660549000000000,7074103.000000000000000,7074104.000000000000000,3285703.000000000000000,3285704.000000000000000,7071140.000000000000000,7071141.000000000000000,285618.000000000000000,285619.000000000000000,707.000000000000000,328.000000000000000,7074.000000000000000,3285.000000000000000,1900,1930,1937,8,29,241,241,1,REPORTED_VALUE,Suomi,Keski-Pohjanmaa (KP),Pietarsaari,COORDINATES,COORDINATES,COORDINATES,,Finland,Jakobstad,Om,,,,0,http://id.luomus.fi/HT.10793,PUBLIC,NONE,,false,http://tun.fi/HR.808,4,,,,http://tun.fi/KE.3,,,,,2016-04-08,2016-04-08,,0,341.00000,27.00000,28.00000,536.00000,31.00000,-134.00000,-41.00000,-82.00000,86.00000,207.00000,191.00000,127.00000,25.00000,141.00000,84.00000,8650.00000,106.00000,171.00000,71.00000
22.660549,63.702447,http://id.luomus.fi/MY.2053189,Sunira circellaris,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.62664,Agrochola circellaris,keltamäkiyökkönen,,,,,,,PRESERVED_SPECIMEN,PRESERVED_SPECIMEN,false,"Sjöholm, Emil",,ADULT,,,,,,0,0,http://id.luomus.fi/MY.2053188,,,,,,,,,,1934-08-16,1934-08-16,,,1934-08-16,"Sjöholm, Emil",63.702441999999998,63.702452000000001,22.660539000000000,22.660558000000002,63.702446999999999,22.660549000000000,7074103.000000000000000,7074104.000000000000000,3285703.000000000000000,3285704.000000000000000,7071140.000000000000000,7071141.000000000000000,285618.000000000000000,285619.000000000000000,707.000000000000000,328.000000000000000,7074.000000000000000,3285.000000000000000,1900,1930,1934,8,16,228,228,1,REPORTED_VALUE,Suomi,Keski-Pohjanmaa (KP),Pietarsaari,COORDINATES,COORDINATES,COORDINATES,,Finland,Jakobstad,Om,,,,0,http://id.luomus.fi/HT.10794,PUBLIC,NONE,,false,http://tun.fi/HR.808,4,,,,http://tun.fi/KE.3,,,,,2016-04-08,2016-04-08,,0,341.00000,27.00000,28.00000,536.00000,31.00000,-134.00000,-41.00000,-82.00000,86.00000,207.00000,191.00000,127.00000,25.00000,141.00000,84.00000,8650.00000,106.00000,171.00000,71.00000
22.660549,63.702447,http://id.luomus.fi/MY.2053195,Sunira circellaris,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.62664,Agrochola circellaris,keltamäkiyökkönen,,,,,,,PRESERVED_SPECIMEN,PRESERVED_SPECIMEN,false,"Sjöholm, Emil",,ADULT,,,,,,0,0,http://id.luomus.fi/MY.2053194,,,,,,,,,,1960-08-19,1960-08-19,,,1960-08-19,"Sjöholm, Emil",63.702441999999998,63.702452000000001,22.660539000000000,22.660558000000002,63.702446999999999,22.660549000000000,7074103.000000000000000,7074104.000000000000000,3285703.000000000000000,3285704.000000000000000,7071140.000000000000000,7071141.000000000000000,285618.000000000000000,285619.000000000000000,707.000000000000000,328.000000000000000,7074.000000000000000,3285.000000000000000,1900,1960,1960,8,19,232,232,1,REPORTED_VALUE,Suomi,Keski-Pohjanmaa (KP),Pietarsaari,COORDINATES,COORDINATES,COORDINATES,,Finland,Jakobstad,Om,,,,0,http://id.luomus.fi/HT.10796,PUBLIC,NONE,,false,http://tun.fi/HR.808,4,,,,http://tun.fi/KE.3,,,,,2016-04-08,2016-04-08,,0,341.00000,27.00000,28.00000,536.00000,31.00000,-134.00000,-41.00000,-82.00000,86.00000,207.00000,191.00000,127.00000,25.00000,141.00000,84.00000,8650.00000,106.00000,171.00000,71.00000
22.660549,63.702447,http://id.luomus.fi/MY.2053213,Sunira circellaris,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.62664,Agrochola circellaris,keltamäkiyökkönen,,,,,,,PRESERVED_SPECIMEN,PRESERVED_SPECIMEN,false,"Sjöholm, Emil",,ADULT,,,,,,0,0,http://id.luomus.fi/MY.2053212,,,,,,,,,,1958-09-22,1958-09-22,,,1958-09-22,"Sjöholm, Emil",63.702441999999998,63.702452000000001,22.660539000000000,22.660558000000002,63.702446999999999,22.660549000000000,7074103.000000000000000,7074104.000000000000000,3285703.000000000000000,3285704.000000000000000,7071140.000000000000000,7071141.000000000000000,285618.000000000000000,285619.000000000000000,707.000000000000000,328.000000000000000,7074.000000000000000,3285.000000000000000,1900,1950,1958,9,22,265,265,1,REPORTED_VALUE,Suomi,Keski-Pohjanmaa (KP),Pietarsaari,COORDINATES,COORDINATES,COORDINATES,,Finland,Jakobstad,Om,,,,0,http://id.luomus.fi/HT.10801,PUBLIC,NONE,,false,http://tun.fi/HR.808,4,,,,http://tun.fi/KE.3,,,,,2016-04-08,2016-04-08,,0,341.00000,27.00000,28.00000,536.00000,31.00000,-134.00000,-41.00000,-82.00000,86.00000,207.00000,191.00000,127.00000,25.00000,141.00000,84.00000,8650.00000,106.00000,171.00000,71.00000
27.66778,63.085125,http://tun.fi/KE.176/551d83622d0e2ccd91c9e72d#Unit1,Agrochola circellaris,,,,NEUTRAL,,,,http://tun.fi/MX.62664,Agrochola circellaris,keltamäkiyökkönen,,,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,,,,,,,,,0,2,http://tun.fi/KE.176/551d83622d0e2ccd91c9e72d#Gathering1,,,,,,,,,,2015-04-02,2015-04-02,,,2015-04-02,Marjo Keinänen,63.085124999999998,63.085124999999998,27.667780000000000,27.667780000000000,63.085124999999998,27.667780000000000,6998180.000000000000000,6998181.000000000000000,3533910.000000000000000,3533911.000000000000000,6995249.000000000000000,6995250.000000000000000,533726.000000000000000,533727.000000000000000,699.000000000000000,353.000000000000000,6998.000000000000000,3533.000000000000000,2000,2010,2015,4,2,92,92,1,REPORTED_VALUE,Suomi,Pohjois-Savo (PS),Siilinjärvi,COORDINATES,COORDINATES,COORDINATES,,FI,Siilinjärvi,,,Ahmo,"en ole varma lajista, mutta toukka löytyi maaliskuun alussa terassilta ja otin toukan sisälle. Se söi ja kasvoi ja tänään se oli koteloitunut. Lisätiedot tervetulleita.",0,http://tun.fi/KE.176/551d83622d0e2ccd91c9e72d,PUBLIC,NONE,,false,http://tun.fi/HR.203,1,,,,http://tun.fi/KE.176,,,,,,,,0,342.00000,32.00000,28.00000,615.00000,29.00000,-133.00000,-43.00000,-90.00000,73.00000,209.00000,216.00000,132.00000,21.00000,150.00000,100.00000,9243.00000,121.00000,210.00000,82.00000
25.697947,61.118559,http://tun.fi/KE.423/0003-3713-8198-1049#Unit,Agrochola circellaris,,,,NEUTRAL,,,,http://tun.fi/MX.62664,Agrochola circellaris,keltamäkiyökkönen,,,,6,,6,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,Olavi Blomster,,ADULT,,,,,lab. määritys,0,0,http://tun.fi/KE.423/0003-3713-8198-1049#Gathering,,,,,,,,,,2007-09-21,2007-09-21,,,2007-09-21,Olavi Blomster,61.118513000000000,61.118605000000002,25.697856000000002,25.698038000000000,61.118558999999998,25.697946999999999,6779530.000000000000000,6779540.000000000000000,3429980.000000000000000,3429990.000000000000000,6776686.000000000000000,6776696.000000000000000,429838.000000000000000,429848.000000000000000,677.000000000000000,342.000000000000000,6779.000000000000000,3429.000000000000000,2000,2000,2007,9,21,264,264,10,REPORTED_VALUE,Suomi,Etelä-Häme (EH),Asikkala,COORDINATES,COORDINATES,COORDINATES,,Finland,Asikkala,Ta,,Vesivehmaa SP 1,,0,http://tun.fi/KE.423/0003-3713-8198-1049,PUBLIC,NONE,,false,http://tun.fi/HR.200,3,,,,http://tun.fi/KE.423,,,,,2008-03-14,2009-11-22,,0,326.00000,33.00000,38.00000,649.00000,29.00000,-115.00000,-30.00000,-72.00000,75.00000,211.00000,224.00000,135.00000,23.00000,151.00000,105.00000,8623.00000,131.00000,207.00000,83.00000
22.56012,60.347243,http://tun.fi/KE.423/0007-7486-4643-4228#Unit,Agrochola circellaris,,,,NEUTRAL,,,,http://tun.fi/MX.62664,Agrochola circellaris,keltamäkiyökkönen,,,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,,,ADULT,,,,,valokuva tai muu tallenne,0,0,http://tun.fi/KE.423/0007-7486-4643-4228#Gathering,,,,,,,,,,2014-08-31,2014-08-31,,,2014-08-31,Jari Kårlund,60.346764999999998,60.347721000000000,22.559277999999999,22.560962000000000,60.347242999999999,22.560120000000001,6701100.000000000000000,6701200.000000000000000,3255100.000000000000000,3255200.000000000000000,6698287.000000000000000,6698387.000000000000000,255029.000000000000000,255129.000000000000000,670.000000000000000,325.000000000000000,6701.000000000000000,3255.000000000000000,2000,2010,2014,8,31,243,243,100,REPORTED_VALUE,Suomi,Varsinais-Suomi (V),Sauvo,COORDINATES,COORDINATES,COORDINATES,,Finland,Sauvo,Ab,,Osmalahti,,0,http://tun.fi/KE.423/0007-7486-4643-4228,PUBLIC,NONE,,false,http://tun.fi/HR.200,3,,,,http://tun.fi/KE.423,,,,,2015-01-01,2015-01-01,,0,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000
29.684338,62.637253,http://tun.fi/KE.423/0027-8165-2329-1678#Unit,Agrochola circellaris,,,,NEUTRAL,,,,http://tun.fi/MX.62664,Agrochola circellaris,keltamäkiyökkönen,,,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,Jukka Kettunen,,ADULT,,,,,,0,0,http://tun.fi/KE.423/0027-8165-2329-1678#Gathering,,,,,,,,,,2010-09-17,2010-09-18,,,2010-09-17 - 2010-09-18,Jukka Kettunen,62.636823999999997,62.637683000000003,29.683323999999999,29.685352000000002,62.637253000000001,29.684338000000000,6950900.000000000000000,6951000.000000000000000,3637800.000000000000000,3637900.000000000000000,6947988.000000000000000,6948088.000000000000000,637574.000000000000000,637674.000000000000000,695.000000000000000,363.000000000000000,6950.000000000000000,3637.000000000000000,2000,2010,2010,9,,260,261,100,REPORTED_VALUE,Suomi,Pohjois-Karjala (PK),Joensuu,COORDINATES,COORDINATES,COORDINATES,,Finland,Joensuu,Kb,,Kytö,,0,http://tun.fi/KE.423/0027-8165-2329-1678,PUBLIC,NONE,,false,http://tun.fi/HR.200,3,,,,http://tun.fi/KE.423,,,,,2010-09-18,2010-09-18,,0,356.00000,30.00000,24.00000,617.00000,32.00000,-144.00000,-49.00000,-97.00000,78.00000,212.00000,220.00000,131.00000,21.00000,149.00000,97.00000,9473.00000,115.00000,215.00000,82.00000
29.55196,62.38248,http://tun.fi/KE.423/0028-0362-7154-5721#Unit,Agrochola circellaris,,,,NEUTRAL,,,,http://tun.fi/MX.62664,Agrochola circellaris,keltamäkiyökkönen,,,,20,,20,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,Tatu Sallinen,,ADULT,,,,,,0,0,http://tun.fi/KE.423/0028-0362-7154-5721#Gathering,,,,,,,,,,2012-09-15,2012-09-28,,,2012-09-15 - 2012-09-28,Tatu Sallinen,62.382437000000003,62.382522999999999,29.551860000000001,29.552060999999998,62.382480000000001,29.551960000000001,6922290.000000000000000,6922300.000000000000000,3632180.000000000000000,3632190.000000000000000,6919390.000000000000000,6919400.000000000000000,631956.000000000000000,631966.000000000000000,692.000000000000000,363.000000000000000,6922.000000000000000,3632.000000000000000,2000,2010,2012,9,,259,272,10,REPORTED_VALUE,Suomi,Pohjois-Karjala (PK),Rääkkylä,COORDINATES,COORDINATES,COORDINATES,,Finland,Rääkkylä,Kb,,Hernevaara,,0,http://tun.fi/KE.423/0028-0362-7154-5721,PUBLIC,NONE,,false,http://tun.fi/HR.200,3,,,,http://tun.fi/KE.423,,,,,2012-09-30,2014-04-20,,0,351.00000,31.00000,27.00000,625.00000,31.00000,-139.00000,-46.00000,-94.00000,77.00000,212.00000,221.00000,132.00000,21.00000,150.00000,99.00000,9377.00000,119.00000,213.00000,82.00000
27.732618,63.192196,http://tun.fi/KE.423/0029-6385-4988-1159#Unit,Agrochola circellaris,,,,NEUTRAL,,,,http://tun.fi/MX.62664,Agrochola circellaris,keltamäkiyökkönen,,,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,Jorma Kelo,,ADULT,,,,,ei talletettu,0,0,http://tun.fi/KE.423/0029-6385-4988-1159#Gathering,,,,,,,,,,2008-09-12,2008-09-20,,,2008-09-12 - 2008-09-20,Jorma Kelo,63.191752999999999,63.192639999999997,27.731612999999999,27.733623000000001,63.192196000000003,27.732617999999999,7010100.000000000000000,7010200.000000000000000,3537000.000000000000000,3537100.000000000000000,7007164.000000000000000,7007264.000000000000000,536814.000000000000000,536914.000000000000000,701.000000000000000,353.000000000000000,7010.000000000000000,3537.000000000000000,2000,2000,2008,9,,256,264,100,REPORTED_VALUE,Suomi,Pohjois-Savo (PS),Siilinjärvi,COORDINATES,COORDINATES,COORDINATES,,Finland,Siilinjärvi,Sb,,Musti,,0,http://tun.fi/KE.423/0029-6385-4988-1159,PUBLIC,NONE,,false,http://tun.fi/HR.200,3,,,,http://tun.fi/KE.423,,,,,2008-09-20,2008-09-20,,0,345.00000,33.00000,24.00000,624.00000,29.00000,-139.00000,-47.00000,-95.00000,74.00000,206.00000,219.00000,128.00000,21.00000,146.00000,102.00000,9270.00000,123.00000,214.00000,83.00000
